,startid,startname,startyear,startcount,startlatitude,startlongitude,zipcode
76,3185,City Hall,2015,1978,40.7177325,-74.043845,07302
77,3133,E 67 St & Park Ave,2015,60,40.76735637,-73.96493528,10065
78,3042,Fulton St & Utica Ave,2015,30,40.6794268,-73.9298911,11233
79,3046,Marcus Garvey Blvd & Macon St,2015,23,40.682601,-73.938037,11216
80,3128,21 St & 43 Ave,2015,16,40.75052534,-73.94594845,11101
81,3052,Lewis Ave & Madison St,2015,37,40.686312,-73.935775,11221
82,3050,Putnam Ave & Throop Ave,2015,55,40.6851532,-73.94111,11216
83,3056,Kosciuszko St & Nostrand Ave,2015,30,40.69072549,-73.95133465,11205
84,3053,Marcy Ave & Lafayette Ave,2015,41,40.6900815,-73.947915,11205
85,3055,Greene Ave & Nostrand Ave,2015,39,40.6883337,-73.950916,11205
86,3059,Pulaski St & Marcus Garvey Blvd,2015,15,40.6933982,-73.939877,11221
87,3105,N 15 St & Wythe Ave,2015,63,40.724055,-73.955736,11222
88,3114,India St & East River,2015,75,40.73165141,-73.96161892,11222
89,3198,Heights Elevator,2016,1793,40.748715945380226,-74.04044330120087,07307
90,3086,Graham Ave & Conselyea St,2015,299,40.715143,-73.944507,11206
91,3061,Throop Ave & Myrtle Ave,2015,35,40.69622937,-73.94371094,11206
92,3064,Myrtle Ave & Lewis Ave,2015,121,40.69681963,-73.93756926,11206
93,3062,Myrtle Ave & Marcy Ave,2015,72,40.69539817,-73.94954908,11205
94,3066,Tompkins Ave & Hopkins St,2015,77,40.69957608,-73.94708417,11206
95,3068,Humboldt St & Varet St,2015,83,40.7031724,-73.940636,11206
96,3211,Newark Ave,2015,2551,40.72152515,-74.046304543,07302
97,3060,Willoughby Ave & Tompkins Ave,2015,82,40.69425403,-73.94626915,11205
98,3067,Broadway & Whipple St,2015,97,40.7016657,-73.9437303,11206
99,3065,Union Ave & Wallabout St,2015,87,40.70029511,-73.95032283,11205
100,3070,McKibbin St & Manhattan Ave,2015,71,40.70510918,-73.94407279,11206
101,3074,Montrose Ave & Bushwick Ave,2015,328,40.70767788,-73.94016171,11206
102,3071,Boerum St & Broadway,2015,116,40.70538077,-73.94976519,11206
103,3069,Lorimer St & Broadway,2015,81,40.70411791,-73.94818595,11206
104,3073,Division Ave & Hooper St,2015,138,40.70691254,-73.95441667,11211
105,3093,N 6 St & Bedford Ave,2015,481,40.71745169,-73.95850939,11211
106,3083,Bushwick Ave & Powers St,2015,264,40.71247661,-73.94100005,11206
107,3214,Essex Light Rail,2017,7918,40.7127742,-74.0364857,07302
108,3081,Graham Ave & Grand St,2015,173,40.711863,-73.944024,11206
109,3106,Driggs Ave & N Henry St,2015,376,40.72325,-73.94308,11222
110,3084,Devoe St & Leonard St,2015,216,40.71348658,-73.94792458,11211
111,3094,Graham Ave & Withers St,2015,225,40.7169811,-73.94485918,11211
112,3088,Union Ave & Jackson St,2015,217,40.7160751,-73.952029,11211
113,319,Fulton St & Broadway,2015,718,40.711066,-74.009447,10007
114,3087,Metropolitan Ave & Meeker Ave,2015,464,40.71413311,-73.95234386,11211
115,3101,N 12 St & Bedford Ave,2015,571,40.72079821,-73.95484712,11222
116,3102,Driggs Ave & Lorimer St,2015,467,40.72179134,-73.9504154,11222
117,3107,Bedford Ave & Nassau Ave,2015,645,40.72311651,-73.95212324,11222
118,3110,Meserole Ave & Manhattan Ave,2015,414,40.72708584,-73.95299117,11222
119,3109,Banker St & Meserole Ave,2015,314,40.72606,-73.95621,11222
120,3127,9 St & 44 Rd,2015,229,40.74966,-73.9521,11109
121,3112,Milton St & Franklin St,2015,627,40.72906,-73.95779,11222
122,3119,Vernon Blvd & 50 Ave,2015,803,40.74232744,-73.95411749,11109
123,3124,46 Ave & 5 St,2015,853,40.74731,-73.95451,11109
124,3121,Jackson Ave & 46 Rd,2015,267,40.74524768,-73.94733276,11101
125,3126,44 Dr & Jackson Ave,2015,579,40.74718234,-73.9432635,11101
126,3130,21 St & Queens Plaza North,2015,172,40.75325964,-73.94335788,11101
127,384,Fulton St & Washington Ave,2015,771,40.683048,-73.964915,11238
128,540,Lexington Ave & E 29 St,2015,2605,40.74311555376486,-73.98215353488922,10010
129,3120,Center Blvd & Borden Ave,2015,551,40.74161,-73.96044,11109
130,3014,E.T. Bike-In Movie Valet Station ,2015,315,40.722852,-73.959114,11222
131,3016,Mobile 01,2015,1039,40.771051856415305,-73.9643383026123,10021
132,2022,E 60 St & York Ave,2015,4788,40.759107,-73.959223,10044
133,443,Bedford Ave & S 9 St,2015,606,40.70853074,-73.96408963,11211
134,271,Ashland Pl & Hanson Pl,2015,38,40.68522671947255,-73.97800147533417,11217
135,2003,1 Ave & E 18 St,2015,2974,40.73381219,-73.98054421,10010
136,228,E 48 St & 3 Ave,2015,9103,40.7546011026,-73.971878855,10167
137,284,Greenwich Ave & 8 Ave,2015,28724,40.7390169121,-74.0026376103,10014
138,396,Lefferts Pl & Franklin Ave,2015,2531,40.680342423,-73.9557689392,11216
139,437,Macon St & Nostrand Ave,2015,2550,40.6809833854,-73.9500479759,11216
140,233,Cadman Plaza W & Pierrepont St,2015,478,40.69475701,-73.99052739,11201
141,255,NYCBS Depot - SSP,2015,15,40.646768,-74.01651,11220
142,521,8 Ave & W 31 St,2015,13650,40.75096735,-73.99444208,10119
143,3191,Union St,2017,606,40.7182113,-74.0836394,07304
144,262,Washington Park,2015,4019,40.6917823,-73.9737299,11217
145,2005,Railroad Ave & Kay Ave,2015,443,40.70531194,-73.97100056,11211
146,3054,Greene Ave & Throop Ave,2015,43,40.6894932,-73.942061,11221
147,2001,Sands St & Navy St,2015,935,40.699773,-73.979927,11201
148,510,W 51 St & 6 Ave,2015,19023,40.7606597,-73.98042047,10020
149,3202,Newport PATH,2016,13363,40.7272235,-74.0337589,07310
150,443,Bedford Ave & S 9th St,2015,935,40.70853074,-73.96408963,11211
151,173,Broadway & W 49 St,2015,22333,40.76064679,-73.98442659,10020
